能力	DSH出处包	要不要	落在哪个Go包	缺口说明
Agent Client Protocol仅自动化JSON-RPC服务器，通过stdio驱动harness agent	acp/acp	需要	protocol/acp	
Typert RPC endpoint提供Host侧ctx.typertGateway与Client侧ctx.remote服务	api/gateway	不需要	—	已裁决不做：Go 侧对外通道是 protocol/sdk 与 protocol/acp 两条，各有线格式且都已落地；再译一套帧会得到第三条互不兼容的通道，而它没有客户端（DSH 那侧说这套帧的只有 client/*，已整包不取）。@Remote 靠 cordis 服务容器加 TS 装饰器反射，Go 侧同一件事的形态就是 sdkserver 里那张显式 handler 表。推翻条件见 docs/portmap/decisions.md 的 api/* 一节：这个仓库长出一个浏览器前端。
双侧BFF为Host Remote能力提供客户端外观，包含Goal Remote与插件清单	api/remotes	不需要	—	已裁决不做：本身是装配清单，不含能力，随 api/gateway 一并不做。转发事件白名单对应的能力 Go 侧都有，只是不经这条通道转发。理由与推翻条件同上，见 docs/portmap/decisions.md 的 api/* 一节。
Host 的 ctx.sessionController 服务与生成的 Client session／skills／fileReferences namespace，负责会话生命周期与历史、模型目录、工作区路径打开、可调用 skill 发现与文件引用	api/session-controller	取形重写	protocol/sdk/sdkprotocol protocol/sdk/sdkserver	缺口：实时投影推送不做（同一语义走 sessionlog/projection 的整值投影，重连重取整值）；工作区路径打开、skill 发现、文件引用三个 namespace 各有自己的门面，不并进这条线
浏览器配置界面的 Host Remote 属主，提供脱敏 settings 与凭据元数据读取、不回传密钥的写入，并在 Host 桌面打开 settings 或 preset 位置	api/settings-controller	取形重写	credentials settings	缺口已补：配置界面那条只读路径落在 credentials 的 DescribeRefs（一次问一批引用，带语法关与扇出上限）。上游同样不打码、不枚举引用——脱敏靠「没有任何一条读路径交出值」，不是靠掩码；settings 那一半的 RedactSecrets 早已落地
Host 的 ctx.workspaceController 与 Client workspace namespace，负责 Workspace 增删改序、Session 重排与归档、完整 Workspace 投影跟随，并拥有选目录 seam	api/workspace-controller	取形重写	feature/workspace	缺口已补：一次读回全部字段的自洽快照落在 feature/workspace 的 Snapshot（多带 TargetKey、不带 Status）。baseline＋增量那一半是有意不落——Go 侧同一语义由 sessionlog/projection 的整值投影承担，重连重取整值
持久附件服务边界，规范化并持久提交图片	attachment/attachment	需要	attachment	
dsh-attachment本地实现，对象存放在DSH_HOME/attachments	attachment/attachment-local	不需要	adapter/imagestore	服务端替代实现见 adapter/imagestore；介质只要四个原语，不要求本机盘
供多个bin共用的启动粘合层，提供配置路径解析、环境加载、Profile机制、Loader结算与启动失败处理	boot/app-boot	不需要	—	缺前置：交互式 TTY
dsh启动器交给引导应用的命令行参数接口，提供参数快照读取与退出请求	boot/cmdline	不需要	—	缺前置：桌面启动器进程（入参走 argv）。服务端入参走 HTTP
纯自动化 ACP stdio 应用 profile 组合包，在 base 之上设 coding persona 与默认模型路由，命令提供方接受调用后才启动 ACP bridge	bundle/acp-app	取形重写	harness protocol/acp	走 HTTP 不走 stdio，进程外壳那半不要。ACP 场景关掉 session-title-llm 这条取舍已记在裁决里
共享dsh核心profile组合包，插入全部基础插件（适配器、持久化、策略、settings等），作为所有profile的第一层	bundle/base	取形重写	harness	取的是 86 行有序挂载这份顺序，落在 harness/assemble.go
一次性任务组合包，提供编码persona和工具模式，禁用HMR，仅创建一个新Agent执行任务后退出	bundle/headless	取形重写	harness	DSH 自陈的第二份最小可跑定义，并入 harness 的装配顺序
SDK stdio 应用 profile 组合包，在 base 之上设 coding persona，命令提供方接受调用后才启动 JSON-RPC server	bundle/sdk-app	取形重写	harness protocol/sdk/sdkserver	走 HTTP 不走 stdio JSON-RPC，要的只是「协议服务端／进程生命周期」的分界
不含共享 base 的独立双工具 SDK profile，只公布按平台选择的持久 shell 与 str_replace_editor，会话存为未压缩 JSONL，模型从 SDK 初始化请求选	bundle/sdk-minimal	取形重写	harness	快照里唯一一份作者亲口说「完整」的最小树，33 行，作为 harness 装配顺序的下界
