package	file	line	decision	container	kind	name	ts_signature	declared_go_ref	mapped_go_declarations	mapping	ruling_note
acp/acp	src/codec.ts	14	PORTED		function	turnEndToStopReason	export function turnEndToStopReason(reason: TurnEndReason): StopReason {	acp.TurnEndToStopReason	acp.TurnEndToStopReason [acp/acp/codec.go:26] func(reason sessionlog.TurnEndReason) wire.StopReason	PORTED_TOP_MAPPED	回合结束理由到 ACP 停止原因那张映射表。cancelled 只留给显式取消，认不出的标签一律折成 end_turn。
acp/acp	src/content.ts	22	PORTED		type	AcpContentFailureKind	export type AcpContentFailureKind = 'invalid' | 'internal' /** Error with a stable ACP request-failure category and no raw binary payload. */ export class AcpContentError extends Error {	acp.ContentFailureKind	acp.ContentFailureKind [acp/acp/content.go:37] type ContentFailureKind string	PORTED_TOP_MAPPED	内容失败的两种口径：invalid 是客户端给错了东西，internal 是这一端的事。TS 的字符串联合在 Go 里是一个具名 string 类型加两个常量。
acp/acp	src/content.ts	25	PORTED		class	AcpContentError	export class AcpContentError extends Error {	acp.ContentError	acp.ContentError [acp/acp/content.go:52] type ContentError struct { // Kind 决定线上报 invalid params 还是 internal error。 Kind ContentFailureKind // Message 是那句能安全送出去的说明。 Message string // Err 是底层原因，只进日志，不上线。 Err error }	PORTED_TOP_MAPPED	带口径的内容失败。Go 里实现 error 与 Unwrap，让底层原因留在链上供 errors.Is/As 判定，同时把它挡在给对面的那句话之外。
acp/acp	src/content.ts	27	PORTED	AcpContentError	property	kind	readonly kind: AcpContentFailureKind	acp.ContentError	acp.ContentError.Kind [acp/acp/content.go:54] Kind ContentFailureKind	PORTED_MEMBER_NAME_MAPPED	带口径的内容失败。Go 里实现 error 与 Unwrap，让底层原因留在链上供 errors.Is/As 判定，同时把它挡在给对面的那句话之外。
acp/acp	src/content.ts	34	PORTED	AcpContentError	constructor	constructor	constructor(message: string, kind: AcpContentFailureKind, options?: ErrorOptions)	acp.ContentError		PORTED_MEMBER_UNMAPPED	带口径的内容失败。Go 里实现 error 与 Unwrap，让底层原因留在链上供 errors.Is/As 判定，同时把它挡在给对面的那句话之外。
acp/acp	src/content.ts	89	PORTED		function	supportsAcpImagePrompts	export async function supportsAcpImagePrompts( ctx: Context, provider: string | undefined, model: string | undefined, ): Promise<boolean> {	acp.SupportsImagePrompts	acp.SupportsImagePrompts [acp/acp/content.go:187] func( ctx context.Context, attachments attachment.Store, models ModelResolver, provider string, model string, ) bool	PORTED_TOP_MAPPED	握手时那句内联图声明。说不清的时候一律说没有——声明出去之后客户端会照它发图。
acp/acp	src/content.ts	123	PORTED		function	admitAcpPrompt	export async function admitAcpPrompt( ctx: Context, route: ModelSelection | undefined, prompt: readonly AcpContentBlock[], imageEnabled: boolean, signal: AbortSignal, ): Promise<ContentBlock[]> {	acp.AdmitPrompt	acp.AdmitPrompt [acp/acp/content.go:242] func( ctx context.Context, attachments attachment.Store, models ModelResolver, target agent.Agent, prompt []wire.ContentBlock, imageEnabled bool, ) (llm.Content, error)	PORTED_TOP_MAPPED	线上提示词的准入：先把每一块验完再写任何一张图，图与文本的先后次序原样保住。
acp/acp	src/content.ts	214	PORTED		function	assistantBlockToAcp	export async function assistantBlockToAcp( ctx: Context, block: ContentBlock, ): Promise<AcpContentBlock | undefined> {	acp.AssistantBlockToACP	acp.AssistantBlockToACP [acp/acp/content.go:346] func( ctx context.Context, attachments attachment.Store, block llm.ContentBlock, ) (wire.ContentBlock, bool, error)	PORTED_TOP_MAPPED	已提交的助手块翻回线上。推理与空文本不上线；图要从附件仓库读回来重验一遍字节。
acp/acp	src/index.ts	60	PORTED		const	name	export const name = 'acp' /** Core services required by the standard automation controls. */ export const inject = ['agents', 'llm', 'sessionPersistence', 'sessions'] /** Preserve invalid-parameter detail in the SDK wire error message. */ function invalidParams(detail: string): RequestError {	acp.PluginName	"acp.PluginName [acp/acp/config.go:31] PluginName = ""acp"""	PORTED_TOP_MAPPED	插件名。
acp/acp	src/index.ts	62	GO_NATIVE		const	inject	export const inject = ['agents', 'llm', 'sessionPersistence', 'sessions'] /** Preserve invalid-parameter detail in the SDK wire error message. */ function invalidParams(detail: string): RequestError {			GO_NATIVE	cordis 服务注入声明，Go 侧不移植 cordis 依赖注入框架。这里那份依赖是 acp.Config 上的 Agents 字段，New 里当场查，编译期加装配期两道都挡得住。
acp/acp	src/index.ts	75	PORTED		interface	AcpConfig	export interface AcpConfig {	acp.Config	acp.Config [acp/acp/config.go:106] type Config struct { // Agents 是 agent 注册表，必填：这座桥靠它建会话、也靠它验一条会话记录指着的 // agent 还是不是活着的那一个。 // // 源: packages/acp/acp/src/index.ts:45（inject = ['agents']） Agents *agent.Registry // Sessions 是会话存储，必填：已提交的助手输出和回合的结束理由都从它那条追加边来。 // // 源: packages/acp/acp/src/index.ts:222 Sessions *coresession.Store // Attachments 是附件存储，可以为 nil。为 nil 时这条线不声明支持内联图，收到图 // 也一律拒。 Attachments attachment.Store // Models 是那一小块 LLM 服务，可以为 nil，见 [ModelResolver]。 Models ModelResolver // Approvals 是审批服务，可以为 nil，见 [ApprovalRegistrar]。 Approvals ApprovalRegistrar // Subagents 是那一个收摊钩子，可以为 nil，见 [ContinuableDrain]。 Subagents ContinuableDrain // Provider 与 Model 是这条线上每一个 agent 共用的那份路由。 // // 源: packages/acp/acp/src/index.ts:72-75 Provider string Model string // Logger 是记诊断的地方，可以为 nil（那时用 [log/slog.Default]）。 // // 新增: DSH 靠 cordis 上下文自带的 logger。这里往它上面记的都是「报不出去的 // 失败」：一条发不出去的通知、一次转不动的助手输出、一次拆不干净的可续后代。 Logger *slog.Logger }	PORTED_TOP_MAPPED	这条线共用的那份 provider/model 路由。DSH 那个 stream 是给测试用的传输替身，Go 侧不需要——这一包的测试直接对着 acp.Bridge 上的方法压，不经过 stdio。
acp/acp	src/index.ts	77	PORTED	AcpConfig	property	provider	provider?: string	acp.Config	acp.Config.Provider [acp/acp/config.go:134] Provider string	PORTED_MEMBER_NAME_MAPPED	这条线共用的那份 provider/model 路由。DSH 那个 stream 是给测试用的传输替身，Go 侧不需要——这一包的测试直接对着 acp.Bridge 上的方法压，不经过 stdio。
acp/acp	src/index.ts	79	PORTED	AcpConfig	property	model	model?: string	acp.Config	acp.Config.Model [acp/acp/config.go:135] Model string	PORTED_MEMBER_NAME_MAPPED	这条线共用的那份 provider/model 路由。DSH 那个 stream 是给测试用的传输替身，Go 侧不需要——这一包的测试直接对着 acp.Bridge 上的方法压，不经过 stdio。
